name             bytes      op_a_level      op_b_level     op_a_attack     op_b_attack      op_a_decay        op_a_end      op_b_decay      op_a_delay      op_b_delay        op_a_trg        op_a_rst        op_b_trg        op_b_rst     phase_reset        op_b_end     op_b1_ratio     op_b2_ratio        feedback          detune            harm             mix      op_a_ratio      op_c_ratio  alg_ratio_slot        
FM INIT AD127      236              0*              0*              0*              0*             127            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AA78       235              0*              0*              78              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AA64       235              0*              0*              64              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AA127      235              0*              0*             127              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT CR90       234              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         11=9.00  alg 1, ratio 9.00     
FM INIT CR160      235              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00        18=16.00  alg 1, ratio 16.00    
FM INIT CR025      234              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*         3*=1.00         3*=1.00              0*              0*              0*            -64*         3*=1.00          0=0.25  alg 1, ratio 0.25     
FM INIT ALG8       234              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 8, ratio 1.00     
FM INIT ALG4       236              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*         3*=1.00         3*=1.00              0*              0*              0*            -64*         3*=1.00         3*=1.00  alg 4, ratio 1.00     
FM INIT ALG2       233              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 2, ratio 1.00     
FM INIT BL84       236              0*              84              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT BL64       236              0*   ?20007F100000              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT BL127      237              0*   ?20007F100000              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL42       236              42              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL64       237   ?20007F460000              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL127      237             127              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT            224              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
